,Braid,Epoch,Step,Reward,Action_list
0,[ 1  2 -1 -1 -1  2  2  1],0,15,-0.72,"[8, 10, 8, 8, 8, 8, 8, 8, 8, 8, 8, 5, 7, 8, 8, 8, 2, 10, 8, 8, 8, 8, 5, 7, 8, 8, 8, 2, 8, 8, 8, 8, 8, 8, 10, 10, 8, 8, 8, 0, 8, 8, 6, 8, 8, 8, 6, 2, 8, 8, 8, 8, 8, 6, 5, 8, 8, 8, 8, 8, 8, 5, 2, 8, 6, 5, 8, 8, 8, 8, 6, 8, 8, 8, 8, 8, 8, 5, 10, 2, 8, 10, 8, 7, 6, 8, 8, 8, 8, 8, 8, 8, 8, 8, 6, 8, 7, 10, 8, 10, 8, 8, 8, 6, 8, 9, 8, 7, 8, 5, 9, 4, 8, 9, 5, 8, 8, 8, 8, 8, 6, 10, 8, 8, 8, 10, 5, 5, 8, 8, 1, 8, 6, 8, 8, 8, 8, 8, 8, 8, 4, 8, 8, 9, 8, 7, 8, 8, 1, 8, 10, 9, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 10, 8, 8, 8, 0]"
0,[ 1  2 -1 -1 -1  2  2  1],0,35,0.12,"[8, 8, 9, 8, 5, 8, 4, 8, 8, 7, 9, 8, 10, 7, 8, 8, 0, 8, 8, 8, 8, 10, 8, 8, 8, 8, 7, 4, 8, 8, 8, 8, 9, 5, 8, 8, 8, 8, 8, 4, 8, 8, 6, 8, 4, 8, 5, 8, 8, 6, 8, 10, 6, 8, 8, 1, 8, 8, 8, 8, 8, 5, 8, 8, 8, 8, 7, 8, 8, 8, 8, 8, 9, 8, 8, 7, 6, 5, 5, 8, 8, 6, 8, 8, 8, 8, 8, 0]"
0,[ 1  2 -1 -1 -1  2  2  1],0,45,-0.77,"[8, 5, 8, 0, 8, 8, 7, 8, 5, 8, 8, 10, 8, 8, 10, 8, 8, 8, 5, 8, 5, 8, 8, 8, 9, 6, 8, 5, 4, 8, 8, 10, 8, 8, 8, 8, 8, 8, 10, 8, 8, 8, 8, 6, 8, 8, 10, 6, 8, 8, 8, 8, 9, 8, 1, 8, 8, 8, 8, 8, 7, 0, 9, 5, 8, 8, 8, 10, 9, 8, 7, 8, 8, 8, 8, 8, 8, 5, 8, 8, 5, 5, 8, 8, 8, 8, 8, 8, 7, 8, 7, 8, 10, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 6, 8, 6, 8, 8, 5, 10, 8, 5, 5, 8, 8, 8, 6, 10, 7, 8, 6, 10, 5, 8, 8, 8, 8, 8, 8, 8, 8, 10, 8, 4, 5, 7, 8, 8, 8, 10, 8, 6, 8, 8, 8, 8, 8, 8, 7, 8, 8, 7, 4, 7, 8, 8, 10, 10, 8, 8, 0, 8, 6, 8, 8, 8, 8, 8, 8, 8, 8, 8, 1, 8, 8, 0]"
0,[ 1  2 -1 -1 -1  2  2  1],0,64,0.29,"[8, 5, 8, 8, 2, 8, 10, 8, 8, 7, 8, 1, 5, 8, 8, 8, 8, 8, 8, 4, 10, 0, 10, 8, 10, 1, 6, 8, 8, 8, 8, 8, 8, 8, 6, 8, 5, 8, 8, 8, 8, 8, 8, 8, 10, 8, 10, 7, 8, 8, 6, 8, 9, 8, 8, 8, 8, 10, 10, 7, 9, 8, 8, 10, 8, 5, 1, 8, 8, 8, 0]"
0,[ 1  2 -1 -1 -1  2  2  1],0,78,-0.53,"[8, 8, 8, 8, 5, 8, 8, 7, 8, 8, 9, 8, 8, 8, 8, 8, 8, 8, 8, 10, 10, 4, 8, 6, 8, 8, 8, 8, 8, 5, 5, 8, 4, 6, 8, 9, 7, 8, 0, 7, 8, 8, 6, 8, 1, 5, 9, 7, 8, 8, 8, 8, 8, 8, 7, 8, 8, 8, 8, 8, 8, 8, 8, 8, 10, 8, 8, 10, 7, 8, 8, 6, 2, 9, 8, 8, 8, 8, 2, 8, 8, 8, 8, 8, 8, 8, 8, 9, 8, 10, 8, 8, 8, 8, 5, 8, 8, 8, 8, 10, 8, 8, 8, 8, 8, 8, 8, 8, 7, 5, 8, 8, 7, 8, 6, 8, 8, 8, 8, 10, 8, 8, 8, 7, 8, 8, 8, 8, 8, 8, 5, 8, 8, 8, 8, 10, 8, 8, 5, 8, 8, 8, 8, 8, 8, 8, 5, 8, 8, 8, 10, 8, 0]"
0,[ 1  2 -1 -1 -1  2  2  1],0,82,-0.13,"[8, 8, 8, 0, 8, 8, 8, 8, 8, 8, 8, 8, 8, 5, 8, 8, 8, 10, 8, 10, 8, 8, 8, 8, 8, 8, 9, 8, 8, 9, 8, 8, 9, 9, 10, 2, 7, 8, 5, 4, 10, 8, 8, 8, 8, 2, 8, 10, 8, 8, 8, 8, 4, 10, 10, 9, 8, 8, 8, 8, 8, 10, 8, 8, 8, 8, 9, 9, 8, 8, 8, 8, 7, 8, 8, 8, 8, 5, 8, 8, 8, 4, 8, 1, 8, 8, 8, 2, 10, 7, 8, 10, 8, 6, 4, 10, 5, 8, 1, 8, 8, 5, 8, 8, 10, 5, 8, 8, 8, 5, 8, 10, 0]"
0,[ 1  2 -1 -1 -1  2  2  1],0,88,0.3,"[8, 8, 8, 0, 8, 8, 6, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 2, 8, 8, 8, 8, 8, 7, 8, 10, 1, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 7, 8, 2, 8, 10, 8, 8, 8, 7, 8, 8, 9, 8, 8, 8, 8, 5, 9, 8, 8, 8, 8, 8, 8, 8, 6, 6, 6, 8, 8, 8, 5, 0]"
0,[ 1  2 -1 -1 -1  2  2  1],0,90,-0.71,"[8, 2, 8, 8, 8, 8, 8, 8, 8, 6, 8, 8, 10, 5, 8, 7, 8, 10, 8, 8, 8, 8, 8, 8, 8, 8, 6, 8, 8, 5, 0, 8, 8, 7, 8, 1, 8, 4, 8, 8, 8, 8, 2, 8, 8, 8, 8, 8, 8, 8, 5, 8, 4, 7, 8, 10, 8, 10, 8, 8, 8, 8, 10, 5, 8, 8, 10, 8, 6, 8, 8, 8, 8, 8, 8, 5, 4, 8, 8, 8, 1, 8, 10, 5, 8, 7, 9, 5, 8, 10, 8, 8, 8, 1, 8, 8, 8, 8, 8, 8, 8, 9, 8, 5, 8, 7, 8, 8, 8, 8, 8, 6, 5, 5, 8, 10, 8, 7, 8, 2, 8, 6, 8, 8, 8, 10, 8, 8, 8, 8, 8, 8, 4, 8, 1, 5, 8, 9, 8, 8, 8, 6, 8, 9, 6, 8, 8, 8, 8, 8, 7, 9, 8, 8, 8, 8, 5, 7, 7, 8, 4, 8, 8, 4, 8, 8, 7, 8, 8, 8, 0]"
0,[ 1  2 -1 -1 -1  2  2  1],0,94,0.48,"[8, 8, 7, 8, 8, 8, 8, 6, 8, 6, 8, 8, 0, 8, 10, 7, 8, 10, 4, 8, 6, 8, 8, 8, 7, 1, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 7, 8, 8, 8, 8, 8, 8, 9, 5, 9, 10, 8, 8, 8, 0]"
0,[ 1  2 -1 -1 -1  2  2  1],1,2,0.73,"[8, 0, 6, 8, 1, 8, 7, 8, 10, 1, 8, 8, 9, 7, 8, 8, 7, 8, 10, 6, 9, 8, 7, 8, 8, 8, 0]"
