,Braid,Epoch,Step,Reward,Action_list
0,[-3  1  3 -2  3  1  2],0,2,0.22,"[3, 3, 2, 2, 2, 8, 2, 2, 3, 2, 6, 3, 3, 2, 3, 8, 3, 0, 5, 2, 5, 3, 3, 2, 3, 3, 8, 8, 9, 3, 10, 8, 9, 3, 3, 2, 3, 2, 8, 8, 3, 8, 2, 8, 8, 9, 2, 2, 3, 8, 3, 5, 3, 0, 2, 8, 2, 2, 8, 5, 2, 3, 3, 3, 8, 8, 3, 3, 9, 3, 3, 3, 3, 3, 8, 9, 8, 0]"
0,[-3  1  3 -2  3  1  2],0,4,-0.62,"[9, 10, 9, 8, 2, 3, 5, 8, 8, 3, 2, 3, 8, 3, 3, 2, 8, 3, 9, 3, 9, 3, 2, 8, 3, 8, 8, 3, 8, 1, 3, 7, 7, 2, 3, 9, 5, 3, 8, 9, 3, 3, 3, 3, 8, 2, 3, 2, 8, 3, 10, 3, 3, 6, 9, 3, 3, 3, 3, 5, 3, 2, 9, 8, 8, 2, 9, 3, 2, 8, 2, 8, 8, 3, 3, 3, 3, 8, 2, 3, 0, 3, 2, 8, 2, 3, 9, 8, 6, 3, 0, 2, 8, 3, 8, 8, 3, 3, 9, 3, 8, 8, 2, 5, 3, 8, 2, 3, 2, 9, 3, 2, 8, 8, 8, 2, 10, 2, 2, 8, 8, 3, 3, 3, 3, 8, 2, 2, 3, 5, 9, 3, 7, 7, 3, 8, 2, 9, 3, 2, 3, 3, 8, 9, 8, 8, 5, 8, 8, 0, 3, 10, 3, 2, 9, 3, 8, 3, 3, 3, 5, 0]"
0,[-3  1  3 -2  3  1  2],0,11,0.27,"[5, 10, 3, 3, 9, 5, 9, 3, 9, 1, 3, 6, 3, 3, 2, 8, 3, 3, 2, 9, 3, 3, 3, 8, 3, 3, 8, 8, 3, 10, 10, 3, 2, 9, 3, 3, 2, 2, 3, 2, 3, 0, 8, 2, 0, 2, 8, 10, 2, 8, 2, 2, 9, 2, 3, 8, 8, 2, 8, 8, 8, 3, 9, 2, 3, 8, 8, 8, 8, 8, 8, 3, 0]"
0,[-3  1  3 -2  3  1  2],0,19,0.14,"[9, 9, 3, 10, 8, 3, 3, 7, 2, 9, 8, 3, 3, 8, 3, 3, 3, 3, 8, 3, 3, 3, 8, 8, 8, 8, 3, 3, 3, 8, 2, 3, 3, 3, 8, 8, 9, 9, 3, 5, 3, 9, 2, 3, 2, 3, 9, 9, 2, 8, 3, 3, 3, 3, 3, 9, 0, 8, 3, 3, 2, 10, 8, 3, 9, 3, 3, 8, 3, 9, 3, 3, 8, 8, 3, 3, 3, 3, 3, 3, 0, 3, 3, 5, 8, 0]"
0,[-3  1  3 -2  3  1  2],0,20,-0.73,"[8, 3, 3, 3, 3, 3, 3, 3, 3, 8, 3, 2, 3, 8, 8, 3, 2, 3, 8, 8, 2, 3, 3, 3, 8, 9, 3, 8, 8, 3, 3, 8, 9, 3, 3, 5, 3, 2, 0, 2, 5, 3, 3, 3, 7, 3, 8, 8, 6, 3, 3, 2, 8, 5, 8, 9, 3, 9, 8, 8, 3, 3, 2, 3, 2, 3, 3, 3, 8, 2, 3, 2, 8, 3, 2, 8, 8, 9, 8, 3, 3, 3, 8, 3, 8, 8, 0, 8, 2, 3, 6, 3, 3, 3, 3, 3, 10, 3, 9, 8, 9, 3, 0, 8, 8, 8, 8, 3, 8, 3, 3, 2, 2, 2, 3, 3, 9, 2, 3, 3, 8, 3, 8, 0, 3, 3, 3, 3, 3, 8, 3, 8, 3, 3, 3, 2, 8, 8, 2, 2, 2, 2, 8, 3, 2, 2, 2, 2, 8, 8, 2, 2, 8, 3, 3, 3, 3, 3, 3, 8, 8, 3, 5, 3, 3, 8, 3, 9, 3, 3, 3, 2, 0]"
0,[-3  1  3 -2  3  1  2],0,26,0.21,"[3, 2, 8, 3, 9, 3, 2, 3, 3, 3, 9, 2, 3, 2, 8, 8, 3, 2, 3, 8, 8, 8, 3, 3, 3, 3, 3, 2, 8, 3, 2, 3, 3, 0, 3, 3, 3, 8, 8, 8, 5, 3, 8, 3, 8, 3, 8, 2, 8, 2, 3, 3, 3, 3, 0, 3, 3, 3, 8, 2, 3, 8, 2, 2, 8, 2, 3, 3, 8, 3, 3, 2, 2, 8, 1, 3, 3, 2, 0]"
0,[-3  1  3 -2  3  1  2],0,29,0.15,"[9, 8, 3, 2, 8, 3, 8, 8, 2, 3, 3, 10, 9, 8, 8, 3, 9, 3, 9, 5, 8, 1, 8, 3, 9, 8, 3, 9, 2, 3, 3, 3, 8, 8, 7, 8, 8, 3, 3, 2, 3, 3, 2, 9, 8, 3, 3, 3, 2, 7, 8, 3, 3, 9, 3, 8, 5, 3, 3, 8, 8, 9, 8, 8, 3, 3, 3, 3, 3, 8, 3, 2, 8, 3, 2, 3, 2, 0, 8, 3, 8, 8, 3, 0, 0]"
0,[-3  1  3 -2  3  1  2],0,30,0.45,"[3, 2, 3, 3, 3, 10, 3, 5, 8, 2, 3, 3, 8, 0, 8, 3, 5, 3, 8, 3, 8, 10, 2, 3, 2, 8, 8, 8, 8, 9, 8, 2, 3, 10, 3, 8, 8, 8, 8, 3, 3, 0, 9, 8, 2, 8, 3, 8, 2, 3, 8, 8, 8, 3, 0]"
0,[-3  1  3 -2  3  1  2],0,37,-0.72,"[8, 10, 8, 2, 3, 8, 8, 3, 8, 3, 8, 3, 4, 2, 9, 3, 5, 8, 3, 9, 3, 9, 3, 3, 8, 3, 3, 3, 3, 0, 8, 3, 3, 5, 2, 3, 2, 3, 8, 3, 6, 8, 3, 3, 2, 2, 9, 8, 9, 9, 3, 3, 3, 8, 3, 3, 8, 2, 3, 8, 8, 3, 8, 8, 8, 3, 8, 3, 3, 3, 3, 2, 2, 10, 3, 3, 9, 2, 3, 8, 2, 8, 3, 8, 3, 9, 8, 3, 10, 7, 3, 3, 8, 8, 3, 3, 8, 9, 9, 2, 3, 3, 3, 3, 8, 2, 8, 0, 3, 8, 3, 2, 2, 2, 8, 9, 8, 2, 3, 3, 9, 8, 9, 3, 3, 9, 3, 8, 3, 3, 8, 3, 8, 3, 3, 3, 8, 3, 3, 3, 3, 5, 8, 3, 8, 3, 3, 2, 2, 2, 9, 9, 2, 5, 3, 8, 3, 8, 8, 2, 3, 3, 3, 3, 3, 2, 3, 3, 2, 2, 3, 0]"
0,[-3  1  3 -2  3  1  2],0,41,0.28,"[2, 9, 8, 3, 3, 5, 2, 2, 10, 5, 2, 2, 9, 3, 0, 3, 3, 2, 3, 8, 2, 8, 3, 3, 3, 8, 3, 8, 2, 2, 3, 3, 3, 0, 9, 8, 5, 3, 3, 3, 3, 5, 9, 2, 3, 2, 3, 1, 3, 3, 3, 9, 8, 3, 9, 3, 8, 3, 3, 3, 2, 2, 2, 3, 2, 8, 3, 3, 8, 3, 8, 0]"
